pl_name,stars,moons,disc_year,orbital period,radius,mass,equilibrium temp,solar radius,solar mass,rotational velocity,distance,gaia magnitude
11 Com b,2,0,2007,323.21,12.2,4914.89849,,13.76,2.09,1.2,93.1846,4.44038
11 UMi b,1,0,2009,516.21997,12.3,4684.8142,,29.79,2.78,1.5,125.321,4.56216
14 And b,1,0,2008,186.76,13.1,1131.1513,,11.55,1.78,2.6,75.4392,4.91781
14 Her b,1,0,2002,1765.0389,12.6,2559.47216,,0.93,0.91,1,17.9323,6.383
16 Cyg B b,3,0,1996,798.5,13.5,565.7374,,1.13,1.08,2.7,21.1397,6.06428
17 Sco b,1,0,2020,578.38,12.9,1373.01872,,25.92,1.22,3.98,124.953,4.75429
18 Del b,2,0,2008,982.85,12.5,2926.24614,,8.8,2.1,,76.222,5.27476
1RXS J160929.1-210524 b,1,0,2008,,18.647,3000,1700,1.31,0.85,,139.135,12.0572
24 Boo b,1,0,2018,30.33,13.9,280.64248,,12.19,1.05,3.36,95.9863,5.3339
24 Sex b,1,0,2010,452.8,13.4,632.46,,4.9,1.54,2.77,72.0691,6.20374
24 Sex c,1,0,2010,883,13.9,273.32,,4.9,1.54,2.77,72.0691,6.20374
2M0437 b,1,0,2021,,13,1271.31363,1450,0.84,0.17,22.54,128.484,14.3374
2MASS J01033563-5515561 AB b,2,0,2013,,12.3,4131.79,,,0.19,,47.2,
2MASS J01225093-2439505 b,1,0,2013,,11.209,7786.5,1600,0.37,0.4,,33.8281,12.9025
2MASS J02192210-3925225 b,1,0,2015,,16.141,4417.837,,0.28,0.11,6.5,40.0896412,15.0123
2MASS J0249-0557 c,2,0,2018,,12.4,3686.80952,,0.32,0.05,,66.0613,15.6894
2MASS J03590986+2009361 b,1,0,2024,,12.2,5720.91133,2369,0.29,0.26,,117.435,16.9967
2MASS J04414489+2301513 b,1,0,2010,,12.6,2383.6,,0.23,0.02,,120.423987,18.9668
2MASS J11011926-7732383 b,1,0,2024,,11.9,8899.1954,2677,,,,,18.3299
2MASS J11550485-7919108 b,1,0,2024,,12.1,6356.56814,2506,0.6,0.59,,100.862,14.818
2MASS J12073346-3932539 b,1,0,2004,,12.9,1589.15,1250,0.22,0.02,,64.308,17.4076
2MASS J19383260+4603591 b,2,0,2015,406,13.4,603.877,,0.2,0.48,,396.332,12.1376
2MASS J21252752-8138278 b,1,0,2024,,12.4,3813.94088,1616,0.67,0.64,,34.1154,10.8133
2MASS J22362452+4751425 b,1,0,2016,,12.3,3972.875,,0.64,0.6,,69.5737,11.9484
30 Ari B b,4,0,2009,335.10001,12.3,4392.4106,,1.41,1.93,38.3,44.657,6.96085
4 UMa b,1,0,2006,270.27,12.6,2511.48007,,18.11,1.23,,73.4603,4.23773
42 Dra b,2,0,2008,479.1,13,1233.13,,22.03,0.98,1,90.6545,4.43216
47 UMa b,1,0,1996,1078,13.2,804.08,,1.21,1.06,2.8,13.7967,4.87837
47 UMa c,1,0,2001,2391,14.2,171.621,,1.21,1.06,2.8,13.7967,4.87837
47 UMa d,1,0,2009,14002,13.5,521.22,,1.21,1.06,2.8,13.7967,4.87837
51 Eri b,3,0,2015,11688,13.4,635.66,700,1.49,1.75,65.19,29.7575,5.15806
51 Peg b,1,0,1995,4.230785,14.3,146.2018,,1.18,1.03,2.2,15.4614,5.28647
55 Cnc b,2,0,1996,14.6516,13.9,263.9785,700,0.94,0.91,1.23,12.5855,5.72973
55 Cnc c,2,0,2004,44.3989,8.51,54.4738,,0.94,0.91,1.23,12.5855,5.72973
55 Cnc d,2,0,2002,5574.2,13,1232.493,,0.94,0.91,1.23,12.5855,5.72973
55 Cnc e,2,0,2004,0.7365474,1.875,7.99,1958,0.94,0.91,1.23,12.5855,5.72973
55 Cnc f,2,0,2007,259.88,7.59,44.812,,0.94,0.91,1.23,12.5855,5.72973
6 Lyn b,1,0,2008,919.86,13.4,597.83523,,4.94,1.32,1.32,54.6599,5.60686
61 Vir b,1,0,2009,4.215,2.11,5.1,,0.96,0.94,1.9,8.50332,4.54052
61 Vir c,1,0,2009,38.021,4.46,18.2,,0.96,0.94,1.9,8.50332,4.54052
61 Vir d,1,0,2009,123.01,5.11,22.9,,0.96,0.94,1.9,8.50332,4.54052
7 CMa b,1,0,2011,735.1,13.4,587.9855,,4.87,1.34,1.15,19.8101,3.67853
7 CMa c,1,0,2019,996,13.9,276.5121,,4.87,1.34,1.15,19.8101,3.67853
70 Vir b,1,0,1996,116.688,12.6,2380.45,,1.89,1.09,1.56,17.9011,4.76178
75 Cet b,2,0,2012,696.62,13.3,787.89662,,10.38,1.92,1.77,82.9613,5.09343
75 Cet c,2,0,2023,2051.62,13.9,289.85951,,10.38,1.92,1.77,82.9613,5.09343
8 UMi b,1,0,2015,93.4,13.6,416.3573,,10.3,1.44,3.6,162.552,6.55896
81 Cet b,1,0,2008,1005.57,13.1,1051.05854,,11.21,1.23,1.8,101.26,5.37588
91 Aqr b,3,0,2013,181.4,13.1,1017,,11,1.4,3.9,44.0304,3.95311
AB Aur b,1,0,2022,,12.5,2860.45566,,2.96,2.4,,162.127,7.07854
AB Pic b,1,0,2005,,12.3,4290.5,,1,0.9,10.35,50.0475,8.8378
AF Lep b,1,0,2023,8030,13.1,1017.0509,1400,1.25,1.2,50,26.8564,6.18644
AU Mic b,1,0,2020,8.4629991,3.957,20.12,600,0.82,0.5,8.5,9.7221,7.84038
AU Mic c,1,0,2021,18.858991,3.24,9.6,459,0.82,0.5,8.5,9.7221,7.84038
AU Mic d,1,0,2023,12.73596,1.02,1.053,,0.74,0.51,8.5,9.7221,7.84038
BD+03 2562 b,1,0,2017,481.9,12.7,2034.112,,32.35,1.14,2.7,1070.63,8.9977
BD+14 4559 b,1,0,2009,268.94,13.8,330.5432,,0.86,0.49,2.5,49.352,9.35108
BD+15 2375 b,1,0,2016,153.22,13.8,337.21763,,8.95,1.08,2.5,768.045,9.9918
BD+15 2940 b,1,0,2013,137.48,13.7,352.78,,14.7,1.1,2.3,426.42,8.7178
BD+20 2457 b,1,0,2009,379.63,12.1,6807.63,,49,2.8,2.5,1539.71,9.22684
BD+20 2457 c,1,0,2009,621.99,12.4,3963.17,,49,2.8,2.5,1539.71,9.22684
BD+20 274 b,1,0,2012,578.2,13,1334.886,,17.3,0.8,2,1322.51,8.91613
BD+20 594 b,1,0,2016,41.6855,2.578,22.2481,546,1.08,1.67,3.3,179.461,10.8644
BD+45 564 b,1,0,2021,307.88,13.6,432.24663,,0.81,0.81,2,53.622,9.41266
BD+48 738 b,1,0,2011,392.6,13.9,289.2253,,11,0.74,1,871.493,8.65569
BD+48 740 b,1,0,2018,733,13.5,540.311,,10.33,1.09,0.7,666.589,8.26449
BD+49 828 b,1,0,2015,2590,13.5,508.5,,7.6,1.52,1.7,442.042,9.02851
BD+55 362 b,1,0,2021,265.59,14,228.83645,,0.9,0.91,2,52.5697,9.15305
BD+60 1417 b,1,0,2021,,14.684,4767.4261,1303,0.8,1,11,44.9543,9.17439
BD+63 1405 b,1,0,2021,1198.48,12.4,3305.41543,,0.8,0.82,2.1,38.0473,8.705
BD-00 4475 b,1,0,2021,723.2,12,7961.6016,,0.84,0.81,3,42.6402,8.78101
BD-06 1339 b,1,0,2013,3.8728,2.85,8.5,,0.69,0.7,0.57,20.2695,9.10677
BD-06 1339 c,1,0,2013,125.94,8.38,53,,0.69,0.7,0.57,20.2695,9.10677
BD-08 2823 b,1,0,2009,5.6,3.61,12.7132,,0.71,0.5,1.4,41.3342,9.50331
BD-08 2823 c,1,0,2009,237.6,12.5,104,,0.72,0.74,1.4,41.3342,9.50331
BD-10 3166 b,1,0,2000,3.48777,14.1,187.5197,,0.91,1.47,0.92,84.4069,9.83981
BD-11 4672 b,1,0,2014,1634,14.1,206.5895,,0.64,0.65,1,27.1665,9.48511
BD-11 4672 c,1,0,2020,74.2,4.04,15.37,,0.64,0.65,1,27.1665,9.48511
BD-13 2130 b,1,0,2007,714.29999,12.5,3108.3774,,19.17,2.12,,925.214,9.69971
BD-14 3065 b,3,0,2024,4.2889731,21.59,3932,2001,2.35,1.41,22,589.423,10.91
BD-17 63 b,1,0,2008,655.6,12.8,1620.9,,0.69,0.74,1.5,34.4603,9.20112
BD-210397 b,1,0,2023,1891,14,214,,0.75,0.68,1,23.7324,9.25962
BD-210397 c,1,0,2023,6240,12.9,1525.57635,,0.75,0.69,3.2,23.7324,9.25962
CD Cet b,1,0,2020,2.2907,1.82,3.95,464,0.17,0.16,2,8.60715,12.1232
CFBDSIR J145829+101343 b,1,0,2011,10037.5,12.4,3337.1,370,,0.02,,23.1,
CFHTWIR-Oph 98 b,1,0,2021,8040000,20.849,2479.06157,1800,0.24,0.01,,,
CHXR 73 b,1,0,2006,,12.3,3994.486,,,0.35,,190.374,17.2934
CI Tau c,1,0,2024,25.2,13,1144.18227,,1.88,0.9,,157.998,12.1454
COCONUTS-2 b,1,0,2021,402000000,12.442,2002.31896,434,0.39,0.37,,10.8864,10.146
CT Cha b,1,0,2007,,24.66,5403,2600,1.68,,13.97,190.72,11.7733
CoRoT-1 b,1,0,2008,1.5089557,16.7,327.35,1898,1.11,0.95,5.2,787.909,13.457
CoRoT-10 b,1,0,2010,13.2406,10.87,874,600,0.79,0.89,2,338.386,14.6645
CoRoT-11 b,1,0,2010,2.99433,16.03,740.51,1657,1.37,1.27,40,655.037,12.841
CoRoT-12 b,1,0,2010,2.828042,16.14,291.438,1442,1.12,1.08,1,1126.37,15.3453
CoRoT-13 b,1,0,2010,4.03519,9.92,415.704,1700,1.01,1.09,4,1148.93,14.9147
CoRoT-14 b,1,0,2010,1.51214,12.22,2415.4,1952,1.21,1.13,9,1744.6,15.8116
CoRoT-16 b,1,0,2011,5.35227,13.11,170.032,,1.19,1.1,1,732.409,15.6507
CoRoT-17 b,1,0,2011,3.7681,11.43,772.29,1626,1.59,1.04,4.5,1176.12,15.4368
CoRoT-18 b,1,0,2011,1.9000693,14.68,1102.82,1550,1,0.95,8,764.889,14.8009
CoRoT-19 b,1,0,2011,3.89713,14.46,352.78,2000,1.65,1.21,6,790.663,13.7831
CoRoT-2 b,2,0,2008,1.7429935,16.432,1102.82,1521,0.91,0.96,10.87,213.283,12.2489
CoRoT-20 b,1,0,2011,9.24285,9.416,1366.669,1024,1.02,1.14,4.5,844.061,14.4686
CoRoT-20 c,1,0,2018,1675,12.2,5403.11,,1.37,1.14,4.5,844.061,14.4686
CoRoT-21 b,1,0,2012,2.72474,14.572,718.2958,,1.95,1.29,11,1398.834197,15.8558
CoRoT-22 b,1,0,2014,9.75598,4.88,12.2,885,1.14,1.1,4,627.158,13.7305
CoRoT-23 b,1,0,2011,3.6313,11.77,889.9,1660,1.61,1.14,9,1060.97,15.0681
CoRoT-24 b,1,0,2014,5.1134,3.7,5.7,1070,0.86,0.91,2,591.555,15.1801
CoRoT-24 c,1,0,2014,11.759,5,28,850,0.86,0.91,2,591.555,15.1801
CoRoT-25 b,1,0,2013,4.86069,12.11,85.81,1330,1.19,1.09,4.3,1103.48,14.711
CoRoT-26 b,1,0,2013,4.20474,14.12,165.26,1600,1.79,1.09,2,1045.18,15.4682
CoRoT-27 b,1,0,2014,3.57532,11.287,3302.11,1500,1.08,1.05,4,1010.28,15.3902
CoRoT-28 b,1,0,2015,5.20851,10.705,153.82972,,1.78,1.01,3,766.183,13.4119
CoRoT-29 b,1,0,2015,2.85057,10.088,270.1555,,0.9,0.97,3.5,806.507,15.2394
CoRoT-3 b,1,0,2008,4.2568,11.32,6883.91,1695,1.56,1.37,17,768.771,13.2188
CoRoT-30 b,1,0,2020,9.06005,11.31,921.707,,0.91,0.98,4.3,1032.23,15.413
CoRoT-31 b,1,0,2020,4.62941,16.365,266.9772,,2.15,1.25,2.8,2005.76,15.4655
CoRoT-35 b,1,0,2022,3.22748,18.831,349.61125,1747,1.65,1.01,8.8,1123.21,15.2625
CoRoT-36 b,1,0,2022,5.616531,15.805,216.12332,1567,1.52,1.32,25.6,925.958,12.9515
CoRoT-4 b,1,0,2008,9.20205,13.34,228.83,1074,1.17,1.16,6.4,726.412,13.5613
CoRoT-5 b,1,0,2009,4.0378962,15.558,148.42,1438,1.19,1,1,882.472,13.9021
CoRoT-6 b,1,0,2009,8.886593,13.068,940.74,1017,1.03,1.05,7.6,645.294,13.7459
CoRoT-7 b,1,0,2009,0.85359163,1.681,4.07661,1756,0.83,0.82,3.5,159.906,11.5239
CoRoT-7 c,1,0,2009,3.698,2.83,8.4,,0.86,0.9,3.5,159.906,11.5239
CoRoT-7 d,1,0,2022,8.966,4.31,17.142,,0.84,0.92,3.5,159.906,11.5239
CoRoT-8 b,1,0,2010,6.21229,6.39,69.92,870,0.77,0.88,2,322.037,14.2195
CoRoT-9 b,2,0,2009,95.272656,11.949,266.9772,420,0.96,0.96,3.5,412.98,13.5008
CoRoTID 223977153 b,1,0,2017,6.71837,6.389,47.6745,938,0.79,1.08,3.2,576.683,13.5867
DE CVn b,2,0,2018,4098.1,12.4,3823.2733,,0.42,0.51,,30.5225,11.9752
DENIS-P J082303.1-491201 b,1,0,2013,246.36,11.9,9057.77,,,0.07,,20.77,18.5577
DH Tau b,1,0,2004,,30.264,3496,2200,0.27,0.33,,134.846,12.4961
DMPP-1 b,1,0,2019,18.57,5.29,24.27,877,1.26,1.21,3.41,62.5388,7.85032
DMPP-1 c,1,0,2019,6.584,3.06,9.6,1239,1.26,1.21,3.41,62.5388,7.85032
DMPP-1 d,1,0,2019,2.882,1.65,3.35,1632,1.26,1.21,3.41,62.5388,7.85032
DMPP-1 e,1,0,2019,5.516,1.86,4.13,1314,1.26,1.21,3.41,62.5388,7.85032
DMPP-2 b,1,0,2019,5.2072,14.3,138.89171,1000,1.78,1.44,5.1,137.94,8.45824
DMPP-3 A b,2,0,2019,6.6732,1.41,2.58,854,0.91,0.87,1.97,45.23,8.854298
DMPP-4 b,1,0,2023,3.4982,3.53,12.2,,1.38,1.25,7.5,25.3284,5.60037
DP Leo b,2,0,2009,10220,12.7,1995.88832,,0.01,0.69,,305.684,18.6333
DS Tuc A b,2,0,2019,8.138268,5.7,413.179,850,0.96,1.01,17.8,44.0622,8.31926
EPIC 201170410.02,1,0,2020,6.7987,1.047,1.15,,0.28,0.29,,134,16.4386
EPIC 201238110 b,1,0,2019,28.1656,1.87,4.16,,0.37,0.41,,159.259,15.2612
EPIC 201427007 b,1,0,2021,0.72091,1.5,2.86,,0.94,0.93,,706.391,14.147
EPIC 201497682 b,1,0,2019,2.13174,0.692,0.26,,0.55,0.78,,253.026,13.7368
EPIC 201595106 b,1,0,2021,0.877214,1.3,2.24,1874,0.93,1.02,3.62,232.1,11.6477
EPIC 201615463 c,1,0,2019,3.80464,1.22,1.98,,1.6,1.07,,476.882,11.9456
EPIC 201754305 d,1,0,2019,2.71578,1.03,1.08,,0.54,0.67,2,334.967,14.3234
EPIC 201757695.02,1,0,2020,2.0478,0.908,0.688,,0.66,0.73,,577.6,
EPIC 201833600 c,1,0,2019,3.96151,1,0.972,,0.63,0.61,,257.443,14.2575
EPIC 201841433 b,1,0,2019,4.1698,1.04,1.12,,0.63,0.8,,436.488,14.5885
EPIC 205950854 c,1,0,2019,8.050722,1.31,2.27,961,0.83,0.88,,243.935,12.0976
EPIC 206024342 b,1,0,2019,4.50756,1.7,3.53,,0.82,0.93,,369.888,12.9682
EPIC 206024342 c,1,0,2021,0.911724,1.4,2.54,,1.1,0.93,,369.888,12.9682
EPIC 206024342 d,1,0,2021,14.647531,2.6,7.27,,1.1,0.93,,369.888,12.9682
EPIC 206032309 b,1,0,2019,2.87814,1.01,1.01,,0.37,0.22,,161.365,16.0689
EPIC 206042996 b,1,0,2019,5.2986,1.7,3.53,,0.5,0.57,,451.769,15.9752
EPIC 206042996 c,1,0,2021,0.354884,1.2,1.87,,0.5,0.57,,451.769,15.9752
EPIC 206215704 b,1,0,2019,2.255436,1,0.972,,0.25,0.41,,109.888,16.1722
EPIC 206317286 b,1,0,2019,1.58252,0.96,0.84,,0.67,0.71,,314.35,13.774
EPIC 206317286 c,1,0,2022,17.515472,2.094,5.03,,0.76,0.83,,314.35,13.774
EPIC 211822797 b,1,0,2016,21.1701963,1.92,4.35,431,0.58,0.62,2.6,186.197,14.5263
EPIC 211945201 b,1,0,2018,19.49221,5.76,27,817,1.39,1.17,4,181.69,10.0512
EPIC 212297394 b,1,0,2019,2.289363,1.48,2.79,1149,0.8,0.83,,418.395,14.1864
EPIC 212297394 c,1,0,2016,5.213965,2.27,5.77,866,0.8,0.83,,418.395,14.1864
EPIC 212424622 b,1,0,2019,18.0983,2.17,5.35,,1.22,1.11,,611.804,13.2026
EPIC 212499991 b,1,0,2019,34.885,1.6,3.19,,0.76,0.91,,283.29,13.3118
EPIC 212587672 b,1,0,2019,15.28078,1.26,2.13,756,0.98,0.99,,320.07,12.2038
EPIC 212587672 c,1,0,2016,23.228555,2.32,5.99,658,0.98,0.99,,320.07,12.2038
EPIC 212624936 b,1,0,2021,0.578657,1.2,1.87,,0.93,1,,561.929,13.8326
EPIC 212624936 c,1,0,2021,11.811437,2.3,5.9,,0.93,1,,561.929,13.8326
EPIC 212737443 b,1,0,2019,13.603,2.586,7.2,536,0.67,0.69,,336.25,14.4776
EPIC 212737443 c,1,0,2019,65.55,2.69,7.7,316,0.67,0.69,,336.25,14.4776
EPIC 220492298 b,1,0,2021,0.762406,0.99,0.937,,0.89,0.95,,624.512,13.7756
EPIC 220554210 c,1,0,2019,0.70531,1.6,3.19,,1,0.94,,496.289,13.8183
EPIC 220674823 b,1,0,2016,0.571292,1.725,8.21,2300,0.99,0.95,2.62,244.59,11.9535
EPIC 220674823 c,1,0,2016,13.3397,2.836,8.9,805,0.99,0.95,2.62,244.59,11.9535
EPIC 228836835 b,1,0,2021,0.728113,1.1,1.37,932,0.32,0.42,,150.124,15.4185
EPIC 229004835 b,1,0,2023,16.141132,2.332,10.4,804,1,0.97,3.77,121.971,10.0494
EPIC 246851721 b,2,0,2018,6.180235,11.781,953.49,1401,1.59,1.32,74.92,372.632,11.2549
EPIC 248847494 b,1,0,2018,3650,12.442,4131.79,183,2.7,0.9,,551.886,12.1722
EPIC 249893012 b,1,0,2020,3.5951,1.95,8.75,1616,1.71,1.05,2.1,321.296,11.4019
EPIC 249893012 c,1,0,2020,15.624,3.67,14.67,990,1.71,1.05,2.1,321.296,11.4019
EPIC 249893012 d,1,0,2020,35.747,3.94,10.18,752,1.71,1.05,2.1,321.296,11.4019
FU Tau b,1,0,2008,,12.2,5085.28,2375,,0.05,,133.4950466,15.2412
G 196-3 b,1,0,2024,,12,8263.53858,1670,0.52,0.52,,21.7912,10.6123
G 264-012 b,1,0,2021,2.30538,1.39,2.5,587,0.3,0.3,2,16.009,11.7617
G 264-012 c,1,0,2021,8.0518,1.76,3.75,387,0.3,0.3,2,16.009,11.7617
G 9-40 b,1,0,2019,5.746007,2.025,11.7,456,0.31,0.29,2,27.9276,12.7331
GJ 1002 b,1,0,2022,10.3465,1.03,1.08,231,0.14,0.12,,4.84867,11.7804
GJ 1002 c,1,0,2022,21.202,1.1,1.36,182,0.14,0.12,,4.84867,11.7804
GJ 1061 b,1,0,2020,3.204,1.1,1.37,,0.16,0.12,2.5,3.67278,10.9889
GJ 1061 c,1,0,2020,6.689,1.18,1.74,,0.16,0.12,2.5,3.67278,10.9889
GJ 1061 d,1,0,2020,13.031,1.16,1.64,,0.16,0.12,2.5,3.67278,10.9889
GJ 1132 b,1,0,2015,1.62892911,1.192,1.83705,584,0.22,0.19,2,12.613,12.138
GJ 1132 c,1,0,2018,8.929,1.43,2.64,300,0.21,0.18,2,12.613,12.138
GJ 1148 b,1,0,2010,41.38,11.9,96.7,,0.36,0.34,,11.0143,10.5769
GJ 1148 c,1,0,2017,532.58,9.71,68.06,,0.36,0.34,,11.0143,10.5769
GJ 1151 c,1,0,2023,389.7,3.25,10.62,,0.18,0.16,2,8.03625,11.6938
GJ 1214 b,1,0,2009,1.58040453,2.733,8.41,567,0.22,0.18,2,14.6427,13.0089
GJ 1252 b,1,0,2020,0.5182331,1.193,1.32,1089,0.39,0.38,,20.373,11.2364
GJ 1265 b,1,0,2018,3.6511,2.63,7.4,,0.19,0.18,2,10.2525,12.0807
GJ 143 b,1,0,2019,35.61253,2.61,22.7,422,0.7,0.73,,16.32,7.67906
GJ 15 A b,2,0,2014,11.4407,1.55,3.03,550,0.38,0.38,1.09,3.56228,7.2162
GJ 15 A c,2,0,2018,7600,6.67,36,,0.38,0.38,1.09,3.56228,7.2162
GJ 160.2 b,1,0,2014,5.2354,3.17,10.2,,0.66,0.69,,25.8557,9.20154
GJ 163 b,1,0,2013,8.63182,3.25,10.6,,0.41,0.4,,15.1285,10.6771
GJ 163 c,1,0,2013,25.63058,2.5,6.8,,0.41,0.4,,15.1285,10.6771
GJ 163 d,1,0,2013,603.95116,5.92,29.4,,0.41,0.4,,15.1285,10.6771
GJ 179 b,1,0,2009,2288,13.8,301.93699,,0.38,0.36,1.5,12.356,10.7055
GJ 180 b,1,0,2014,17.133,2.43,6.49,,0.41,0.43,,11.9407,9.93395
GJ 180 c,1,0,2014,24.329,2.41,6.4,,0.41,0.43,,11.9407,9.93395
GJ 180 d,1,0,2020,106.3,2.66,7.56,,0.41,0.43,,11.9407,9.93395
GJ 2030 b,1,0,2022,2.38129,2.03,4.76743,,2.24,0.96,,37.0788,6.02088
GJ 2030 c,1,0,2022,25533.11353,12.3,4069.15709,,2.24,0.96,,37.0788,6.02088
GJ 2056 b,1,0,2020,69.971,4.17,16.2,,0.71,0.62,,28.4434,9.72281
GJ 229 A c,2,0,2020,121.93268,2.87,8.58137,,0.46,0.51,1,5.75624,7.30724
GJ 229 b,2,0,2014,579.47495,3.97,14.93794,,0.46,0.51,1,5.75624,7.30724
GJ 238 b,1,0,2024,1.7446999,0.566,0.126,758,0.43,0.42,,15.2142,10.5294
GJ 251 b,1,0,2020,14.238,1.83,4,351,0.36,0.36,2,5.58057,8.85518
GJ 27.1 b,1,0,2014,15.819,3.66,13,,0.52,0.53,,23.6062,10.579
GJ 273 b,1,0,2017,18.6498,1.51,2.89,,0.29,0.29,,5.921535,
GJ 273 c,1,0,2017,4.7234,1.06,1.18,,0.29,0.29,,5.921535,
GJ 3021 b,2,0,2000,133.71,13.1,1071.04,350,0.9,0.9,5.5,17.5559,6.39729
GJ 3082 b,1,0,2020,11.949,2.79,8.2,,0.47,0.47,,16.6186,10.2011
GJ 3090 b,1,0,2022,2.8531054,2.13,3.34,693,0.52,0.52,1.468,22.4751,10.5521
GJ 3138 b,1,0,2017,1.22003,1.18,1.78,,0.5,0.68,,28.4712,10.1924
GJ 3138 c,1,0,2017,5.974,1.88,4.18,,0.5,0.68,,28.4712,10.1924
GJ 3138 d,1,0,2017,257.8,3.23,10.5,,0.5,0.68,,28.4712,10.1924
GJ 317 b,1,0,2007,695.66,13.3,794.5,,0.43,0.42,,15.1968,10.7539
GJ 317 c,1,0,2018,6739.323,13.5,522.5,,0.43,0.42,,15.1968,10.7539
GJ 3222 b,2,0,2022,10.66669,3.4,11.44182,,0.93,0.89,2,18.23817,
GJ 328 b,1,0,2013,3771,13.3,797.7493,,0.63,0.65,,20.5266,9.2861
GJ 328 c,1,0,2023,241.8,4.91,21.4,,0.63,0.65,,20.5266,9.2861
GJ 3293 b,1,0,2015,30.5987,5.19,23.54,,0.4,0.42,,20.1903,10.9788
GJ 3293 c,1,0,2015,122.6196,4.87,21.09,,0.4,0.42,,20.1903,10.9788
GJ 3293 d,1,0,2017,48.1345,2.67,7.6,,0.4,0.42,,20.1903,10.9788
GJ 3293 e,1,0,2017,13.2543,1.63,3.28,,0.4,0.42,,20.1903,10.9788
GJ 3323 b,1,0,2017,5.3636,1.23,2.02,,0.12,0.16,,5.37484,10.6467
GJ 3323 c,1,0,2017,40.54,1.32,2.31,,0.12,0.16,,5.37484,10.6467
GJ 3341 b,1,0,2015,14.207,2.46,6.6,,0.44,0.47,,23.619,11.1029
GJ 338 B b,2,0,2020,24.422,3.25,10.6,391,0.58,0.64,2.3,6.33256,7.04775
GJ 3470 b,1,0,2012,3.3366496,4.57,13.9,594,0.55,0.54,,29.4214,11.3537
GJ 3473 b,2,0,2020,1.1980035,1.264,1.86,773,0.36,0.36,2,27.3644,12.465
GJ 3473 c,2,0,2020,15.509,2.63,7.41,329,0.36,0.36,2,27.3644,12.465
GJ 3512 b,1,0,2019,203.69,14.3,146.20107,,0.14,0.12,,9.48637,13.1117
GJ 3512 c,1,0,2020,1599.6,9.32,63.56568,,0.14,0.12,,9.48637,13.1117
GJ 357 b,1,0,2019,3.9306,1.2,1.84,518,0.34,0.34,2,9.44181,9.88036
GJ 357 c,1,0,2019,9.1247,1.66,3.4,401,0.34,0.34,2,9.44181,9.88036
GJ 357 d,1,0,2019,55.661,2.34,6.1,220,0.34,0.34,2,9.44181,9.88036
GJ 3634 b,1,0,2010,2.64561,2.83,8.4,,0.43,0.45,1,20.3779,10.9233
GJ 367 b,1,0,2021,0.3219225,0.699,0.633,1365,0.46,0.46,,9.41263,9.15159
GJ 367 c,1,0,2023,11.5301,1.86,4.13,,0.46,0.46,,9.41263,9.15159
GJ 367 d,1,0,2023,34.369,2.33,6.03,,0.46,0.46,,9.41263,9.15159
GJ 3779 b,1,0,2018,3.0232,2.75,8,,0.28,0.27,2,13.743,11.6266
GJ 3929 b,1,0,2022,2.616235,1.09,1.75,568,0.32,0.31,2,15.8095,11.5109
GJ 3929 c,1,0,2022,15.04,2.26,5.71,317,0.32,0.31,2,15.8095,11.5109
GJ 393 b,1,0,2021,7.02679,1.17,1.71,485,0.43,0.43,2,7.03149,8.67373
GJ 3942 b,1,0,2017,6.905,2.57,7.14,590,0.61,0.63,1.67,16.9287,9.40765
GJ 3988 b,1,0,2023,6.9442,1.74,3.69,348,0.2,0.18,2,9.9105,11.9925
GJ 3998 b,1,0,2016,2.64977,1.38,2.47,,0.49,0.5,0.93,18.1459,9.98337
GJ 3998 c,1,0,2016,13.74,2.38,6.26,,0.49,0.5,0.93,18.1459,9.98337
GJ 411 b,1,0,2019,12.9394,1.45,2.69,350,0.37,0.39,2,5.675773,
GJ 414 A b,2,0,2021,50.8,2.63,7.6,309,0.68,0.65,3,11.8893,7.72808
GJ 414 A c,2,0,2021,749.83,8.4,53.83,125,0.68,0.65,3,11.8893,7.72808
GJ 422 b,1,0,2014,20.129,3.33,11.07,,0.37,0.35,,12.6631,10.4771
GJ 4276 b,1,0,2019,13.352,4.22,16.57,,0.41,0.41,2,21.3362,11.6605
GJ 433 b,1,0,2011,7.3705,2.33,6.043,,0.5,0.48,,9.06456,8.89138
GJ 433 c,1,0,2014,5094.105,6.27,32.422,,0.47,0.48,,9.06456,8.89138
GJ 433 d,1,0,2020,36.059,2.14,5.223,,0.47,0.48,,9.06456,8.89138
GJ 436 b,1,0,2004,2.64388312,4.17,22.1,686,0.46,0.47,0.33,9.75321,9.57148
GJ 463 b,1,0,2022,3448,13,1144.18227,,0.49,0.49,2,18.3554,10.5462
GJ 480 b,1,0,2020,9.567,3.69,13.2,,0.46,0.45,,14.2358,10.3249
GJ 486 b,1,0,2021,1.4671205,1.343,3,706,0.34,0.33,2,8.07426,10.094
GJ 504 b,1,0,2013,,13,1271.3,510,1.26,1.22,5.47,17.5299,5.04156
GJ 514 b,1,0,2022,140.43,2.13,5.2,202,0.5,0.51,,7.61778,8.20621
GJ 536 b,1,0,2016,8.7076,2.17,5.36,,0.5,0.52,1.2,10.4092,8.85881
GJ 581 b,1,0,2005,5.3686,4.11,15.8,,0.33,0.31,2.1,6.2981,9.411
GJ 581 c,1,0,2007,12.914,2.21,5.5,,0.33,0.31,2.1,6.2981,9.411
